UID        PID  PPID  C STIME TTY          TIME CMD
shashi    1720  1688  0 20:11 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
shashi    1722  1491  0 20:11 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
shashi    1733  1688  0 20:11 ?        00:00:02 /usr/lib/ibus/ibus-engine-simple
shashi    1853  1491  0 20:11 ?        00:00:01 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
shashi    1860  1491  0 20:11 ?        00:00:00 gpg-agent --homedir /home/shashi/.gnupg --use-standard-socket --daemon
shashi    1870  1491  0 20:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
shashi    1872  1491  0 20:11 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
shashi    1879  1491  0 20:11 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
shashi    1880  1491  0 20:11 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
shashi    1890  1879  0 20:11 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
shashi    1895  1491  0 20:11 ?        00:00:11 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
shashi    1914  1491  0 20:11 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
shashi    1918  1491  0 20:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
shashi    1919  1491  0 20:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
shashi    1920  1491  0 20:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
shashi    1930  1491  0 20:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
shashi    1931  1491  0 20:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
shashi    1932  1491  0 20:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
